title,video_type,duration_sec,view_count,like_count,comment_count,published_at,video_id
'陰ニモ日向ニモ' Solo Dance⚪️⚫️#TravisJapan #陰ニモ日向ニモ #ニモニモ,Shorts,28.0,328838,19106,589,2026-02-18T10:14:11Z,n2xDi0sbJ5w
'陰ニモ日向ニモ'🖤🤍#TravisJapan #陰ニモ日向ニモ #ニモニモ,Shorts,33.0,665960,29623,766,2026-02-17T11:00:37Z,O9cof2OE4kE
「陰ニモ日向ニモ」MV is OUT NOW!! #TravisJapan #陰ニモ日向ニモ #ニモニモ,Shorts,48.0,246651,16740,254,2026-02-17T08:02:00Z,RAcWn6u1pxw
「陰ニモ日向ニモ」MV is OUT NOW!! #TravisJapan #陰ニモ日向ニモ #ニモニモ,Shorts,32.0,223423,16055,209,2026-02-17T08:01:18Z,zzxBlTw3s-c
「陰ニモ日向ニモ」MV is OUT NOW!! #TravisJapan #陰ニモ日向ニモ #ニモニモ,Shorts,36.0,171422,12629,208,2026-02-17T08:01:17Z,NUE0b1kD2d0
実は寒かったよね❄️ #TravisJapan #踊らなきゃ損 #stravelers #福井,Shorts,33.0,246930,16519,372,2026-02-17T03:01:17Z,e3qtzwWCyDY
開演10分前に撮った💦#踊らなきゃ損#宮近海斗 #松田元太 #TravisJapan,Shorts,30.0,200456,13618,148,2026-02-17T03:00:56Z,OhofVFPr-1o
福井といえば？#踊らなきゃ損#中村海人#松倉海斗 #TravisJapan,Shorts,34.0,129748,10714,164,2026-02-17T03:00:36Z,OCozTqSfKY0
🕺✨#踊らなきゃ損#七五三掛龍也#川島如恵留#吉澤閑也,Shorts,22.0,211907,10848,96,2026-02-17T03:00:20Z,anyZoKpM4qI
雪っていいよね❄️🍫 #TravisJapan #OShanTee #stravelers #福井,Shorts,22.0,255658,15029,169,2026-02-14T03:00:02Z,21h66zK4L0c
Travis Japan【カラオケ対決】｢愛のかたまり｣ガチ熱唱！　#TravisJapan #トラジャ #カラオケ #愛のかたまり #DOMOTO,Shorts,52.0,183721,14968,669,2026-02-13T12:00:07Z,52pW4ozNhi0
❤️💙#TravisJapan #OShanTee #宮近海斗 #松田元太,Shorts,21.0,223793,12603,155,2026-02-13T03:02:00Z,ivxo6obbxmc
おしゃんてぃ♡#TravisJapan #OShanTee #中村海人 #松倉海斗,Shorts,20.0,252653,13697,168,2026-02-13T03:01:14Z,xRbirM_V7-w
福井でおしゃんてぃ♡#TravisJapan #OShanTee #七五三掛龍也 #川島如恵留 #吉澤閑也,Shorts,19.0,230812,10657,145,2026-02-13T03:01:06Z,xi4CNqPZpCY
愛情表現たっぷり🥰 #TravisJapan #OShanTee #七五三掛龍也 #川島如恵留 #松倉海斗,Shorts,22.0,108782,8671,126,2026-02-12T03:02:00Z,SsphKfkOD-o
あれ？ちょっとシャイ？#TravisJapan #OShanTee #宮近海斗 #中村海人 #七五三掛龍也,Shorts,22.0,194469,10713,101,2026-02-12T03:01:08Z,XnSQ_Gl1dfc
おしゃんてぃ✨#TravisJapan #OShanTee #七五三掛龍也 #松田元太 #吉澤閑也,Shorts,21.0,117434,8632,88,2026-02-12T03:00:34Z,Qm0VwbS2Zk4
