title,video_type,duration_sec,view_count,like_count,comment_count,published_at,video_id
#6 2026年最初にお届けするのはこのペア！！,Regular,1773.0,43995,3207,109,2026-01-14T09:33:00Z,TXDu0bmz-HA
Travis Japan【桃鉄２ 前編】鉄道王に俺はなる！まったりゆったりプレイ🎮,Regular,4287.0,321839,10322,1308,2026-01-10T12:01:15Z,hGn0vjMRrwY
【JUST!シン日本遺産】シーズン２　# 13をちら見せ「大人の軽井沢ロケ“アダルザワ”」続きはTELASAで,Regular,735.0,89037,6185,230,2026-01-07T23:00:12Z,5kCeyyzMTIY
#5 吉松ペアでお届け！,Regular,1221.0,29263,2326,74,2026-01-07T09:45:05Z,Q5T1Q1f7qIY
Travis Japan【全国プロモーション】「’s travelers」発売記念。密着したら大忙し！？,Regular,1062.0,184024,10700,908,2026-01-03T12:01:07Z,Xy8dfCJ-frQ
Travis Japan【謹賀新年】あけおめ恒例！2026年にやりたいこと大発表🎍,Regular,538.0,210807,13930,1088,2026-01-01T03:00:57Z,ZTUwLCXlZSc
#4 今日から二人体制でお届けします♫,Regular,1161.0,43169,2680,55,2025-12-31T09:15:00Z,aI_JrMqMVfE
Travis Japan【無音ダンス】Disco Babyでついに本領発揮！音がなくてもシンクロ達成！？,Regular,1070.0,518294,18142,1241,2025-12-27T12:01:43Z,t0gVV2V71kY
【JUST!シン日本遺産】シーズン２　# １２をちら見せ「自分の運命がわかる!?予言の池」続きはTELASAで,Regular,504.0,34427,2624,101,2025-12-24T23:00:54Z,lJK5xjfTVSE
Travis Japan - ‘Say I do’ - Dance Practice  -,Regular,386.0,393902,20089,3221,2025-12-24T21:00:07Z,ajs55jJKm4U
#3 「Travis Japan の とらみみ」二人体制はこんな感じ！？,Regular,1314.0,42165,3094,72,2025-12-24T09:10:00Z,KA4C71AFKro
Travis Japan【クリプレ交換会】100円ショップでメンバー必需品のアイテムをプレゼント！,Regular,1248.0,560522,19237,2535,2025-12-20T12:01:11Z,Y2Oyso_qlX8
【JUST!シン日本遺産】シーズン２　# １１をちら見せ、「島根県が誇るスイーツ」続きはTELASAで,Regular,502.0,41789,3100,149,2025-12-17T23:00:20Z,GMMqjhJt-3U
#2「Travis Japan の とらみみ」ってこんな番組！！,Regular,1386.0,49125,3834,78,2025-12-17T10:35:01Z,cq51k6vKQqs
Travis Japan【予備校開催】問題を読むだけなのにパニック！だいきょんこつって何！？,Regular,1454.0,553219,16170,2014,2025-12-13T12:01:44Z,p7lDfENOAOs
【JUST!シン日本遺産】シーズン２　# １０をちら見せ、「しず&まちゅ人生初の座禅修行」続きはTELASAで,Regular,647.0,53750,3838,242,2025-12-10T23:00:01Z,069B97FOwxM
#1 祝！Travis Japanのポッドキャスト番組スタート～番組タイトル決定会議！～,Regular,1260.0,71919,6754,221,2025-12-10T12:15:03Z,7otAy0fLlyM
Travis Japan - 'Welcome To Our Show Tonight' - Dance Practice -,Regular,340.0,558575,21306,3132,2025-12-06T13:15:10Z,DtRVJaQLc5k
Travis Japan【日本事故物件監視協会 再び】うみ参戦！しめまちゅ驚きすぎて、しずが負傷!?,Regular,1415.0,277355,10977,911,2025-12-06T12:00:46Z,KVz_ltpmqBI
【JUST!シン日本遺産】シーズン２　# ９をちら見せ、「ご褒美飯争奪SUP障害物レース」続きはTELASAで,Regular,620.0,59339,3294,145,2025-12-03T23:00:14Z,4TbBd_sMRf0
Travis Japan – 'Welcome To Our Show Tonight' Music Video,Regular,308.0,3450366,33212,14117,2025-12-01T09:00:07Z,LPPZ9ZU2-Zs
Travis Japan【mimi-ni】TJのPodcast番組がスタート！だから滑舌鍛えようと思ったのにｗ,Regular,922.0,218992,11327,997,2025-11-29T12:01:16Z,bCa7nQqqkCk
【JUST!シン日本遺産】シーズン２　# ８をちら見せ、「青森名物が大集結！超極楽温泉宿で青森名物３本勝負！」続きはTELASAで,Regular,585.0,75236,3813,106,2025-11-26T23:00:59Z,cFguOG77DKk
Travis Japan【祝31歳】川島如恵留の超努力家な半生を年表化🤍,Regular,1524.0,426201,16886,1600,2025-11-22T12:00:52Z,R8v2hjft2xc
Travis Japan - 'Would You Like One?' - Dance Practice  -,Regular,234.0,491294,20039,1715,2025-11-21T15:00:50Z,JhjDiPmr8zg
【JUST!シン日本遺産】シーズン２　# ７をちら見せ「乗って！飛んで！回る！青森で航空・科学・宇宙を体感！」トレーニングアクティビティ３本勝負！続きはTELASAで,Regular,701.0,70501,3772,126,2025-11-19T23:00:43Z,TumwW2G087g
Travis Japan  ’s travelers   -Special Teaser-,Regular,115.0,127729,9614,1446,2025-11-19T09:01:08Z,gRI7PYSnvoc
Travis Japan【まちゅのポエム】祝28歳🧡伝説のポエミスト松倉海斗がTJポエムを大査定！才能アリは誰？,Regular,1655.0,310174,12947,1743,2025-11-15T12:00:01Z,0DN_MZLn6bI
Travis Japan - 'Tokyo Crazy Night' - Dance Practice  -,Regular,313.0,557470,23594,2773,2025-11-14T09:00:30Z,fn7mJi25jOY
Travis Japan【帰ってきた人狼鬼ごっこ】鬼は誰だ⁉️ 体力と心理戦が交差する究極のダマし合い再び‼️,Regular,4147.0,1089238,28364,5450,2025-11-13T12:00:06Z,y88xErV5jbY
【JUST!シン日本遺産】シーズン２　# ６をちら見せ「乗って！飛んで！回る！青森で航空・科学・宇宙を体感！」続きはTELASAで,Regular,567.0,96873,5050,271,2025-11-12T23:01:24Z,uKn62iOLoE0
Travis Japan ’s travelers Limited Edition J -Special Movie Teaser-,Regular,106.0,100049,7448,529,2025-11-11T09:00:25Z,9_4NFB6aq0I
Travis Japan【日本事故物件監視協会】まちゅ･しめ ビビりすぎ😱ホラーゲームなのに笑笑,Regular,1543.0,347016,13840,1808,2025-11-08T12:00:02Z,0fAR2_OGhIQ
Travis Japan ’s travelers Fan Club Exclusive Edition - Special Movie Teaser -,Regular,122.0,109379,7705,568,2025-11-07T09:01:15Z,i8kvcPkRkjQ
【JUST!シン日本遺産】シーズン２　# ５をちら見せ「デカいもの大好き！茨城が誇る地球一大きな卵」続きはTELASAで,Regular,590.0,47034,3618,157,2025-11-05T23:00:02Z,1pqlsDKKReU
Travis Japan - 'Disco Baby' - Dance Practice -,Regular,333.0,860983,27906,5887,2025-11-03T11:00:12Z,gTN6owBOXpk
3rd Anniversary Travis Japan YouTube LIVE - 'Disco Baby' Performance Video -,Regular,442.0,372178,13499,787,2025-11-02T10:02:42Z,H9QpXU94zRM
3rd Anniversary Travis Japan YouTube LIVE -Talk Section-,Regular,3058.0,179146,8624,521,2025-11-02T10:02:30Z,CAYU7BkZ1PE
Travis Japan【バンコク公演】Vllsualワールドツアー裏側密着！ついに完走！みんなありがとう！,Regular,993.0,128082,8132,530,2025-11-01T12:01:42Z,tGTHk-DUdAo
Travis Japan ’s travelers  Limited Edition T -Special Movie Teaser-,Regular,102.0,116432,8769,542,2025-10-31T09:00:10Z,qz5inJ91WM4
【JUST!シン日本遺産】シーズン２　# ４をちら見せ「デカいもの大好き！茨城が誇る日本一大きな頭」続きはTELASAで,Regular,740.0,54697,4069,217,2025-10-29T23:00:12Z,4aoi1BFLkjw
Travis Japan – 'Disco Baby' Music Video,Regular,267.0,5836183,43624,25134,2025-10-27T09:00:07Z,S2z8USvWn1Q
Travis Japan【スペシャル対談】Hey! Say! JUMP有岡くん×宮近📢JUMP兄さんの新曲｢GHOST｣振付裏話や15年前の出会いとか。,Regular,1324.0,266344,16842,967,2025-10-25T12:00:03Z,0NZsECp94Sk
【JUST!シン日本遺産】シーズン２　# ３をちら見せ「太古の時代を大冒険！ジュラシック系宝探しテーマパーク」続きはTELASAで,Regular,736.0,49917,3795,135,2025-10-22T23:00:58Z,fei5ITyLyWY
Travis Japan【大食い】二郎系ラーメンで大食いの神様も限界!?新たな刺客…,Regular,1140.0,917000,19860,1658,2025-10-18T12:01:32Z,kOJNYMAnJBY
【JUST!シン日本遺産】シーズン２　# 2 をちら見せ「背中にライドオン！新感覚マリンアクティビティ」続きはTELASAで,Regular,715.0,65745,4559,223,2025-10-15T23:00:14Z,CNzdSRyW5Ww
Travis Japan【香港ディズニーランド】香港密着特別編！プライベートです。,Regular,691.0,377386,13586,1257,2025-10-11T12:01:27Z,ncKCXx-IS3Y
【JUST!シン日本遺産】シーズン２　# １をちら見せ「男を磨く！沖縄が世界に誇るサンチン」続きはTELASAで,Regular,648.0,100387,6366,310,2025-10-08T23:00:41Z,Zn2u2ke1ZYM
Travis Japan【香港公演】Vllsualワールドツアー裏側密着！香港でも盛り上がっちゃっていいですか!?,Regular,678.0,167121,9360,561,2025-10-04T12:00:09Z,4-K_hSnTCmc
Travis Japan【台北公演】Vllsualワールドツアー裏側密着！ファミクラストアにも行ってきたよ～,Regular,925.0,307920,11862,665,2025-09-27T12:00:57Z,Pu1TgUUcyC8
Travis Japan【アタック25 再び】打倒のえる！6対1でリベンジなるか…,Regular,1936.0,537699,15968,1525,2025-09-20T12:01:09Z,bPpTYOjWkEc
Travis Japan Concert Tour 2025 Vllsual 発売まで あと３日！発売直前スペシャル生配信,Regular,3954.0,289958,0,797,2025-09-14T12:26:58Z,feUx2t01UrA
Travis Japan【足音ダンス 第2弾】あのダンス企画再び！感動を届けることができるのか！？,Regular,1570.0,1243007,29048,2953,2025-09-06T12:01:06Z,Xsn1F9-MQcQ
'Rush' (From 'Travis Japan Concert Tour 2025 VIIsual' Limited Press Edition Disc2),Regular,176.0,719811,22585,3293,2025-09-01T13:00:49Z,R6pn31K0Pdc
Travis Japan【マリオカート ワールド】遂に全員対決！TJ最速王決定戦🏁,Regular,1627.0,536494,15279,1798,2025-08-30T12:01:37Z,rIJzp6v6PHc
Travis Japan【京本会】SixTONES京本くんのダンスを作った本気の2日間,Regular,1265.0,783353,35965,2526,2025-08-23T12:00:07Z,289avroWgSY
'BO$$Y' (From 'Travis Japan Concert Tour 2025 VIIsual' Disc1),Regular,215.0,559595,18162,1908,2025-08-18T10:00:02Z,0V4yA4RZjic
Travis Japan【祝30歳】吉澤閑也の人生を年表でとことん深掘り💛,Regular,1467.0,520504,15465,1525,2025-08-16T12:00:18Z,BlnsEpf9NxI
'Travis Japan Concert Tour 2025 VIIsual' Bonus Disc Trailer (Standard Edition),Regular,133.0,130555,7749,418,2025-08-14T11:01:30Z,nUc31NanmOs
'HBD' (From 'Travis Japan Concert Tour 2025 VIIsual' Disc1),Regular,153.0,245413,11318,1291,2025-08-09T15:01:26Z,pUTnwlkkoKs
