video_id,title,video_type,duration_sec,view_count,like_count,comment_count,published_at,jp_ratio,en_ratio,other_ratio,overseas_total_ratio
KVz_ltpmqBI,Travis Japan【日本事故物件監視協会 再び】うみ参戦！しめまちゅ驚きすぎて、しずが負傷!?,Regular,1415.0,277355,10977,911,2025-12-06T12:00:46Z,0.99,0.0,0.01,0.01
4TbBd_sMRf0,【JUST!シン日本遺産】シーズン２　# ９をちら見せ、「ご褒美飯争奪SUP障害物レース」続きはTELASAで,Regular,620.0,59339,3294,145,2025-12-03T23:00:14Z,0.97,0.01,0.02,0.03
LPPZ9ZU2-Zs,Travis Japan – 'Welcome To Our Show Tonight' Music Video,Regular,308.0,3450438,33212,14117,2025-12-01T09:00:07Z,0.9696969696969697,0.010101010101010102,0.020202020202020204,0.030303030303030304
bCa7nQqqkCk,Travis Japan【mimi-ni】TJのPodcast番組がスタート！だから滑舌鍛えようと思ったのにｗ,Regular,922.0,218992,11327,997,2025-11-29T12:01:16Z,0.94,0.01,0.05,0.060000000000000005
cFguOG77DKk,【JUST!シン日本遺産】シーズン２　# ８をちら見せ、「青森名物が大集結！超極楽温泉宿で青森名物３本勝負！」続きはTELASAで,Regular,585.0,75236,3813,106,2025-11-26T23:00:59Z,0.98989898989899,0.0,0.010101010101010102,0.010101010101010102
R8v2hjft2xc,Travis Japan【祝31歳】川島如恵留の超努力家な半生を年表化🤍,Regular,1524.0,426201,16886,1600,2025-11-22T12:00:52Z,0.9797979797979798,0.0,0.020202020202020204,0.020202020202020204
JhjDiPmr8zg,Travis Japan - 'Would You Like One?' - Dance Practice  -,Regular,234.0,491294,20039,1715,2025-11-21T15:00:50Z,0.9797979797979798,0.0,0.020202020202020204,0.020202020202020204
TumwW2G087g,【JUST!シン日本遺産】シーズン２　# ７をちら見せ「乗って！飛んで！回る！青森で航空・科学・宇宙を体感！」トレーニングアクティビティ３本勝負！続きはTELASAで,Regular,701.0,70501,3772,126,2025-11-19T23:00:43Z,0.9797979797979798,0.010101010101010102,0.010101010101010102,0.020202020202020204
gRI7PYSnvoc,Travis Japan  ’s travelers   -Special Teaser-,Regular,115.0,127729,9614,1446,2025-11-19T09:01:08Z,0.9,0.04,0.060000000000000005,0.1
0DN_MZLn6bI,Travis Japan【まちゅのポエム】祝28歳🧡伝説のポエミスト松倉海斗がTJポエムを大査定！才能アリは誰？,Regular,1655.0,310174,12947,1743,2025-11-15T12:00:01Z,0.98989898989899,0.0,0.010101010101010102,0.010101010101010102
fn7mJi25jOY,Travis Japan - 'Tokyo Crazy Night' - Dance Practice  -,Regular,313.0,557470,23594,2773,2025-11-14T09:00:30Z,0.99,0.01,0.0,0.01
y88xErV5jbY,Travis Japan【帰ってきた人狼鬼ごっこ】鬼は誰だ⁉️ 体力と心理戦が交差する究極のダマし合い再び‼️,Regular,4147.0,1089259,28363,5450,2025-11-13T12:00:06Z,1.0,0.0,0.0,0.0
uKn62iOLoE0,【JUST!シン日本遺産】シーズン２　# ６をちら見せ「乗って！飛んで！回る！青森で航空・科学・宇宙を体感！」続きはTELASAで,Regular,567.0,96873,5050,271,2025-11-12T23:01:24Z,0.97,0.01,0.02,0.03
9_4NFB6aq0I,Travis Japan ’s travelers Limited Edition J -Special Movie Teaser-,Regular,106.0,100049,7448,529,2025-11-11T09:00:25Z,0.9,0.07,0.03,0.1
0fAR2_OGhIQ,Travis Japan【日本事故物件監視協会】まちゅ･しめ ビビりすぎ😱ホラーゲームなのに笑笑,Regular,1543.0,347016,13840,1808,2025-11-08T12:00:02Z,0.99,0.0,0.01,0.01
i8kvcPkRkjQ,Travis Japan ’s travelers Fan Club Exclusive Edition - Special Movie Teaser -,Regular,122.0,109393,7705,568,2025-11-07T09:01:15Z,0.98,0.0,0.02,0.02
1pqlsDKKReU,【JUST!シン日本遺産】シーズン２　# ５をちら見せ「デカいもの大好き！茨城が誇る地球一大きな卵」続きはTELASAで,Regular,590.0,47034,3618,157,2025-11-05T23:00:02Z,0.98,0.0,0.02,0.02
gTN6owBOXpk,Travis Japan - 'Disco Baby' - Dance Practice -,Regular,333.0,860910,27906,5887,2025-11-03T11:00:12Z,1.0,0.0,0.0,0.0
H9QpXU94zRM,3rd Anniversary Travis Japan YouTube LIVE - 'Disco Baby' Performance Video -,Regular,442.0,372152,13498,787,2025-11-02T10:02:42Z,0.9292929292929293,0.020202020202020204,0.05050505050505051,0.07070707070707072
CAYU7BkZ1PE,3rd Anniversary Travis Japan YouTube LIVE -Talk Section-,Regular,3058.0,179146,8624,521,2025-11-02T10:02:30Z,0.9797979797979798,0.0,0.020202020202020204,0.020202020202020204
tGTHk-DUdAo,Travis Japan【バンコク公演】Vllsualワールドツアー裏側密着！ついに完走！みんなありがとう！,Regular,993.0,128082,8132,530,2025-11-01T12:01:42Z,0.97,0.02,0.01,0.03
qz5inJ91WM4,Travis Japan ’s travelers  Limited Edition T -Special Movie Teaser-,Regular,102.0,116432,8769,542,2025-10-31T09:00:10Z,0.99,0.0,0.01,0.01
